Occurrence_num,Palaeolongitude,Palaeolatitude,Loc. Num.,Present.region,Old.Class,Order,Family,Genus,Operative_Genus,Operative_Genus.Subgenus,Genus.Subgenus_modifier,Genus_Modified,Modified_Genus,Species,Operative_Species,Genus.Species,British Stage,Appearance,Appearance_FAD,Appearance_LAD,FAD_interval,LAD_interval,Genus BA range,Depth.resolved,max_depth,min_depth,mean_depth,Community,Formation,Depth Association,lithology,Source,Read_more,Genus_FAD_interval,Genus_LAD_interval,interval_resolved,GRID_COORD,FAD_Coarse_Interval,LAD_Coarse_Interval,Cratonic,Palaeocontinent/Terrane,Continent_max_Northing,Continent_min_Northing,Merged.Terrains,Max.Palaeolongitude.Merged.450,Min.Palaeolatitude.Merged.450,Loc_ID
4358,20.837,-67.961,41,Montagne Noire,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Ashgill (pre Hirnantian?),Pusgillian E,Rawtheyan U,4,12,BA 3-5,1,5,3,4,,Ashgill Marls,BA 3-5,,Boucot et al 2003,Hammann et al 1982,1,14,1,20_-70,4,6,0,Armorica,76,66,Greater_Gondwana,35,-90,20.8_-68
4455,17.583,-67.67,41,Massif de Mouthoumet,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Pusgillian U - Cautleyan E,Pusgillian U,Cautleyan E,6,7,BA 3-5,1,5,3,4,,shales & Limestones,BA 3-5,,Boucot et al 2003,Hammann et al 1982,1,14,1,20_-70,4,5,0,Armorica,76,66,Greater_Gondwana,35,-90,17.6_-67.7
4456,-8.881,-74.009,42,"Iberian Chains, NE Spain",Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Pusgillian U - Rawtheyan,Pusgillian U,Rawtheyan U,6,12,BA 3-5,1,5,3,4,,Cystoid Limestone,BA 3-4,,Boucot 2003,Chauvel & Le Menn 1979,1,14,1,-10_-75,4,6,0,Iberia,81,64,Greater_Gondwana,35,-90,-8.9_-74
4662,-31.046,-80.431,51,SW Sardinia,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Rawtheyan,Rawtheyan E,Rawtheyan U,10,12,BA 3-5,1,5,3,4,,Domusnovas Fm,BA 4,"mudst, offshore shelf",Boucot et al 2003,Leone et al 1991,1,14,1,-30_-80,6,6,0,Gondwana,87,3,Greater_Gondwana,35,-90,-31_-80.4
4663,24.615,-66.326,46,"Hoher Trieb, Carnic Alps",Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Rawtheyan? (Ashgill),Rawtheyan E,Rawtheyan U,10,12,BA 3-5,1,5,3,4,,Uggwa limestone & Sandstone,BA 3-4,,Boucot 2003,Havlicek et al 1987,1,14,1,25_-65,6,6,0,Gondwana,87,3,Greater_Gondwana,35,-90,24.6_-66.3
4510,-62.191,-20.826,5,"Pomeroy, N Ireland",Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Ashgill,Cautleyan,Cautleyan E,Cautleyan U,7,9,BA 3-5,1,5,3,4,,Portrane Limestone,BA 3-4,,Boucot et al 2003,Wright 1964,1,14,1,-60_-20,5,5,0,Midland Valley Terrane,31,18,Laurentia,18,-28,-62.2_-20.8
3642,38.706,3.657,36,"Zunyi, N Giuzhou Province, SW China",Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae,actoniae,Nicolella_actoniae,Caradoc,Caradoc E,Caradoc E,Caradoc E,1,1,BA 3-5,1,5,3,4,,Shihtzupu Fm,BA 3 ,,Cocks & Zhan 1998,,1,14,1,40_5,1,1,1,South China,15,0,South China,18,-5,38.7_3.7
4153,-65.277,-20.526,5,Girvan,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae_actoniae,actoniae_actoniae,Nicolella_actoniae_actoniae,Caradoc,Caradoc U (Onnian),Caradoc U,Caradoc U,3,3,BA 3-5,1,5,3,4,,"Myoch Fm, Ardmillan Grp",BA 5,,Harper 2006,,1,14,1,-65_-20,3,3,0,Midland Valley Terrane,31,18,Laurentia,18,-28,-65.3_-20.5
4359,-60.923,-20.192,5,Girvan,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae_multicostata,actoniae_multicostata,Nicolella_actoniae_multicostata,Ashgill,Pusgillian,Pusgillian E,Pusgillian U,4,6,BA 3-5,1,5,3,4,,"Mill Fm, Ardmillan Grp",BA 4-5,,Harper 2006,,1,14,1,-60_-20,4,4,0,Midland Valley Terrane,31,18,Laurentia,18,-28,-60.9_-20.2
3643,-83.547,-45.898,33,"Bala District, Wales",Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae_obesa,actoniae_obesa,Nicolella_actoniae_obesa,Caradoc,Caradoc E (E Burrellian),Caradoc E,Caradoc E,1,1,BA 3-5,1,5,3,4,,Nant Hir Grp & Derfel Lst,BA 3-4,,Cocks & Zhan 1998,Williams 1963,1,14,1,-85_-45,1,1,0,Avalonia,46,22,Baltica-Avalonia,-8,-47,-83.5_-45.9
3963,-57.823,-32.923,15,Oslo region,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae_obesa?,actoniae_obesa?,Nicolella_actoniae_obesa?,Caradoc,Caradoc M-U,Caradoc M,Caradoc U,2,3,BA 3-5,1,5,3,4,,u Arnestad - Frognerkilen Fm,BA 4-5,,Hansen 2007,,1,14,1,-60_-35,2,3,0,Baltica,42,6,Baltica-Avalonia,-8,-47,-57.8_-32.9
4360,4.852,-68.254,41,Brittany,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae_ramosa,actoniae_ramosa,Nicolella_actoniae_ramosa,Ashgill,Ashgill (pre Hirnantian),Pusgillian E,Rawtheyan U,4,12,BA 3-5,1,5,3,4,,"Niv. 16, Tufs et calcaires de Rosan Fm",BA 3-4,carbonates,Boucot et al 2003,Melou 1990,1,14,1,5_-70,4,6,0,Armorica,76,66,Greater_Gondwana,35,-90,4.9_-68.3
4511,-60.923,-20.192,5,Girvan,Articulata,Orthida,Productorthidae,Nicolella,Nicolella,Nicolella,,0,Nicolella,actoniae_ramosa,actoniae_ramosa,Nicolella_actoniae_ramosa,Ashgill,Cautleyan,Cautleyan E,Cautleyan U,7,9,BA 3-5,1,5,3,4,,Quarrel Hill Fm,BA 3-4,,Harper 2006,,1,14,1,-60_-20,5,5,0,Midland Valley Terrane,31,18,Laurentia,18,-28,-60.9_-20.2
5268,23.936,-3.435,23,"Mongolian Altai, W Mongolia",Articulata,Strophomenida,Sowerbyellidae,Eoplectodonta(E.),Eoplectodonta,Eoplectodonta,,0,Eoplectodonta,acuminata,acuminata,Eoplectodonta_acuminata,Caradoc,Caradoc,Caradoc E,Caradoc U,1,3,BA 4-5,1,5,4,4.5,,Bairimski Beds,BA 4-5,,Cocks & Rong 1989,,1,23,1,25_-5,1,3,0,Altai,23,0,Altai,0,-5,23.9_-3.4
5269,-57.823,-32.923,15,Oslo region,Articulata,Strophomenida,Sowerbyellidae,Eoplectodonta(E.),Eoplectodonta,Eoplectodonta,,0,Eoplectodonta,acuminata,acuminata,Eoplectodonta_acuminata,Caradoc,Caradoc E-U,Caradoc E,Caradoc U,1,3,BA 4-5,1,5,4,4.5,,lo Arnestad-lo Frognerkilen,BA 4-5,,Hansen 2007,,1,23,1,-60_-35,1,3,0,Baltica,42,6,Baltica-Avalonia,-8,-47,-57.8_-32.9
2367,-94.187,-20.763,10,E USA,Articulata,Orthida,Platystrophiidae,Platystrophia,Platystrophia,Platystrophia,,0,Platystrophia,acuminata,acuminata,Platystrophia_acuminata,Ashgill,Cautleyan E (U Maysvillian),Cautleyan E,Rawtheyan M,7,11,BA 2-5,1,5,2,3.5,,post-knox sequences,BA 2-5,,Patzkowsky & Holland 1997,,1,23,1,-95_-20,5,6,1,Laurentia,33,0,Laurentia,18,-28,-94.2_-20.8
3197,46.558,3.52,36,NE Guizhou,Articulata,Spiriferida,Cyrtiidae,Striispirifer,Striispirifer,Striispirifer,,0,Striispirifer,acuminiplicatus,acuminiplicatus,Striispirifer_acuminiplicatus,Llandovery,Aeronian E,Aeronian E,Aeronian E,18,18,BA 2-5,1,5,2,3.5,,lo- m Xiangshuyuan Fm,BA 2-3,,Rong et al 1994,Rong pers com,15,23,1,45_5,9,9,1,South China,15,0,South China,18,-5,46.6_3.5
1704,-98.01,-12.116,10,Minnesota,Articulata,Rhynchonellida,Trigonirhynchiidae,Rostricellula,Rostricellula,Rostricellula,,0,Rostricellula,acuplicata,acuplicata,Rostricellula_acuplicata,Caradoc,Caradoc M-U(Trenton),Caradoc M,Caradoc U,2,3,BA 2-5,1,5,2,3.5,,Prosser Fm,BA 2-5,,Cooper 1956,,1,23,1,-100_-10,2,3,1,Laurentia,33,0,Laurentia,18,-28,-98_-12.1
119,-50.659,-36.635,17,N Estonia,Articulata,Strophomenida,Strophomenidae,Kurnamena,Kurnamena,Kurnamena,,0,Kurnamena,acuta,acuta,Kurnamena_acuta,Caradoc,Caradoc M (Haljala),Caradoc M,Caradoc M,2,2,BA 2-3,1,3,2,2.5,,Tatruse & Vasavere Fms,BA 3,,Rõõmusoks 2004,,1,3,1,-50_-35,2,2,1,Baltica,42,6,Baltica-Avalonia,-8,-47,-50.7_-36.6
2757,-50.05,-31.342,17,Estonia,Articulata,Strophomenida,Rafinesquinidae,Leptaena,Leptaena,Leptaena,,0,Leptaena,acuteplicata,acuteplicata,Leptaena_acuteplicata,Ashgill,Hirnantian,Hirnantian E,Hirnantian M*,13,14,BA 2-5,1,5,2,3.5,Hirnantia fauna,Porkuni Stage,BA 3,,Cocks 2005,,1,23,1,-50_-30,7,7,1,Baltica,42,6,Baltica-Avalonia,-8,-47,-50.1_-31.3
